symbol,segment,exposure_group,name
GDS,equity,,
SCHO,equity,,
MSTX,equity,,
AWI,equity,,
AN,equity,,
NVST,equity,,
MFC,equity,,
EURUSD=X,fx,EUR,Euro / US Dollar
GBPUSD=X,fx,GBP,Sterling / US Dollar
USDJPY=X,fx,JPY,US Dollar / Yen
AUDUSD=X,fx,AUD,Australian Dollar / US Dollar
USDCHF=X,fx,,US Dollar / Swiss Franc
USDCAD=X,fx,,US Dollar / Canadian Dollar
NZDUSD=X,fx,,NZ Dollar / US Dollar
USDSEK=X,fx,,US Dollar / Swedish Krona
ES=F,equity_future,SP500,E-mini S&P 500
NQ=F,equity_future,NDX,E-mini Nasdaq 100
YM=F,equity_future,DOW,E-mini Dow
RTY=F,equity_future,RUSSELL,E-mini Russell 2000
ZN=F,rate_future,USRATES_MID,10-Year T-Note
ZB=F,rate_future,USRATES_LONG,30-Year T-Bond
ZF=F,rate_future,USRATES_SHORT,5-Year T-Note
ZT=F,rate_future,USRATES_SHORT,2-Year T-Note
CL=F,commodity_future,CRUDE,Crude Oil
GC=F,commodity_future,GOLD,Gold
SI=F,commodity_future,SILVER,Silver
NG=F,commodity_future,NATGAS,Natural Gas
HG=F,commodity_future,,Copper
ZC=F,commodity_future,,Corn
ZS=F,commodity_future,,Soybeans
ZW=F,commodity_future,,Wheat
6E=F,fx_future,EUR,Euro FX Future
6J=F,fx_future,JPY,Japanese Yen Future
6B=F,fx_future,GBP,British Pound Future
6A=F,fx_future,AUD,Australian Dollar Future
